acsf_model(name='t6',
           num_molecules=100000,
           acsf_Gs=acsf_Gs(G2_params=[(0.4, 0.2), (0.6, 0.2)],
                           G4_params=[(0.4, 2, 1), (0.6, 2, 1), (0.6, 2, -1)],
                           Rc=5.0),
           paths=paths(data_path='data/t3.pkl',
                       model_path='results/t6',
                       plot_path='plots/t6',
                       linear_model='results/t6_linear'),
           results=results(avg_dif=0, mae=0, max_d=0),
           nn_props=nn_props(nodes=[64, 64, 32, 1],
                             batch_size=32,
                             epochs=400,
                             learning_rate=0.001))
found data at data/t3.pkl
Number of Molecules: 100000
RMSE of least squares fitting: 11.223900352298045
MAE of least squares fitting : 8.306690234500989
starting training...
Epoch,	Training E,	 Validation E	 Estimated Time Left
92,	 3.109271e+01,	 3.143384e+01	 23.24 Hours
93,	 3.100987e+01,	 3.148451e+01	 23.16 Hours
94,	 3.083195e+01,	 3.118081e+01	 23.09 Hours
95,	 3.075826e+01,	 3.100426e+01	 23.01 Hours
96,	 3.066016e+01,	 3.100089e+01	 22.94 Hours
97,	 3.057020e+01,	 3.126779e+01	 22.86 Hours
98,	 3.053540e+01,	 3.074187e+01	 22.79 Hours
99,	 3.045583e+01,	 3.067142e+01	 22.71 Hours
100,	 3.040182e+01,	 3.032379e+01	 22.64 Hours
101,	 3.024320e+01,	 3.049299e+01	 22.56 Hours
102,	 3.021527e+01,	 3.053197e+01	 22.49 Hours
103,	 3.008598e+01,	 2.974955e+01	 22.41 Hours
104,	 2.999217e+01,	 3.042689e+01	 22.33 Hours
105,	 2.996132e+01,	 2.996533e+01	 22.26 Hours
106,	 2.981686e+01,	 3.035830e+01	 22.18 Hours
107,	 2.969665e+01,	 3.004885e+01	 22.11 Hours
108,	 2.959471e+01,	 3.025417e+01	 22.03 Hours
109,	 2.961505e+01,	 2.956687e+01	 21.96 Hours
110,	 2.938280e+01,	 3.032306e+01	 21.88 Hours
111,	 2.936502e+01,	 3.048184e+01	 21.81 Hours
112,	 2.934938e+01,	 3.076120e+01	 21.73 Hours
113,	 2.923641e+01,	 3.050569e+01	 21.65 Hours
114,	 2.920119e+01,	 3.022300e+01	 21.58 Hours
115,	 2.897785e+01,	 3.078009e+01	 21.50 Hours
116,	 2.915745e+01,	 3.054827e+01	 21.43 Hours
117,	 2.893160e+01,	 3.060486e+01	 21.35 Hours
118,	 2.883554e+01,	 3.110036e+01	 21.28 Hours
119,	 2.870789e+01,	 3.134989e+01	 21.20 Hours
120,	 2.878541e+01,	 3.106833e+01	 21.13 Hours
121,	 2.861105e+01,	 3.112904e+01	 21.05 Hours
122,	 2.849143e+01,	 3.042561e+01	 20.97 Hours
123,	 2.851130e+01,	 3.018962e+01	 20.90 Hours
124,	 2.833050e+01,	 2.983617e+01	 20.83 Hours
125,	 2.828127e+01,	 3.017951e+01	 20.75 Hours
126,	 2.822294e+01,	 3.102292e+01	 20.67 Hours
127,	 2.816064e+01,	 3.048358e+01	 20.60 Hours
128,	 2.802098e+01,	 2.993671e+01	 20.52 Hours
129,	 2.791057e+01,	 3.001824e+01	 20.45 Hours
130,	 2.781486e+01,	 3.109041e+01	 20.37 Hours
131,	 2.774773e+01,	 2.998401e+01	 20.30 Hours
132,	 2.765839e+01,	 3.001715e+01	 20.22 Hours
